ANIO_VIAJE,MES_VIAJE,LOCATION_ID_SALIDA,ZONE_SALIDA,LOCATION_ID_LLEGADA,ZONE_LLEGADA,Borough_SALIDA,Borough_LLEGADA,TOTAL_VIAJES,TRIP_DISTANCE,TOTAL_TARIFA
2011,1,74,East Harlem North,95,Forest Hills,Manhattan,Queens,11,121.17,286.7
2011,1,83,Elmhurst/Maspeth,50,Clinton West,Queens,Manhattan,3,24.84,71.9
2011,1,65,Downtown Brooklyn/MetroTech,13,Battery Park City,Brooklyn,Manhattan,155,461.2600000000002,1638.7999999999997
2011,1,105,Governor's Island/Ellis Island/Liberty Island,105,Governor's Island/Ellis Island/Liberty Island,Manhattan,Manhattan,266,505.1299999999998,2074.2
2011,1,54,Columbia Street,45,Chinatown,Brooklyn,Manhattan,18,54.28,165.39999999999998
2011,1,93,Flushing Meadows-Corona Park,37,Bushwick South,Queens,Brooklyn,3,14.879999999999999,56.300000000000004
2011,1,53,College Point,24,Bloomingdale,Queens,Manhattan,1,8.49,21.3
2011,1,13,Battery Park City,21,Bensonhurst East,Manhattan,Brooklyn,26,240.39999999999992,641.8
2011,1,43,Central Park,123,Homecrest,Manhattan,Brooklyn,4,65.13000000000001,163.2
2011,1,60,Crotona Park East,31,Bronx Park,Bronx,Bronx,3,11.65,37.1
2011,1,37,Bushwick South,41,Central Harlem,Brooklyn,Manhattan,3,33.97,89.5
2011,1,106,Gowanus,41,Central Harlem,Brooklyn,Manhattan,4,50.290000000000006,126.39999999999999
2011,1,28,Briarwood/Jamaica Hills,108,Gravesend,Queens,Brooklyn,4,66.03999999999999,143.2
2011,1,126,Hunts Point,107,Gramercy,Bronx,Manhattan,2,12.93,37.0
2011,1,50,Clinton West,23,Bloomfield/Emerson Hill,Manhattan,Staten Island,1,19.85,45.7
2011,1,88,Financial District South,3,Allerton/Pelham Gardens,Manhattan,Bronx,1,18.49,40.5
2011,1,66,DUMBO/Vinegar Hill,21,Bensonhurst East,Brooklyn,Brooklyn,2,21.990000000000002,51.8
2011,1,38,Cambria Heights,28,Briarwood/Jamaica Hills,Queens,Queens,1,11.47,29.7
